Store,Assortment,CompetitionDistance,PromoSinceWeek,PromoSinceYear,PromoInterval
1,Small,1270.0,,,
2,Small,570.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
3,Small,14130.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
4,Large,620.0,,,
5,Small,29910.0,,,
6,Small,310.0,,,
7,Large,24000.0,,,
8,Small,7520.0,,,
9,Large,2030.0,,,
10,Small,3160.0,,,
11,Large,960.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
12,Large,1070.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
13,Small,310.0,45.0,2009.0,"Feb,May,Aug,Nov"
14,Small,1300.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
15,Large,4110.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
16,Large,3270.0,,,
17,Small,50.0,26.0,2010.0,"Jan,Apr,Jul,Oct"
18,Large,13840.0,14.0,2012.0,"Jan,Apr,Jul,Oct"
19,Large,3240.0,22.0,2011.0,"Mar,Jun,Sept,Dec"
20,Small,2340.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
21,Large,550.0,45.0,2009.0,"Jan,Apr,Jul,Oct"
22,Small,1040.0,22.0,2012.0,"Jan,Apr,Jul,Oct"
23,Small,4060.0,,,
24,Large,4590.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
25,Small,430.0,,,
26,Small,2300.0,,,
27,Small,60.0,5.0,2011.0,"Jan,Apr,Jul,Oct"
28,Small,1200.0,6.0,2015.0,"Mar,Jun,Sept,Dec"
29,Large,2170.0,,,
30,Small,40.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
31,Large,9800.0,,,
32,Small,2910.0,45.0,2009.0,"Feb,May,Aug,Nov"
33,Large,1320.0,,,
34,Small,2240.0,,,
35,Large,7660.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
36,Large,540.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
37,Small,4230.0,,,
38,Small,1090.0,,,
39,Small,260.0,31.0,2013.0,"Feb,May,Aug,Nov"
40,Small,180.0,45.0,2009.0,"Feb,May,Aug,Nov"
41,Large,1180.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
42,Large,290.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
43,Small,4880.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
44,Small,540.0,,,
45,Small,9710.0,,,
46,Small,1200.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
47,Large,270.0,14.0,2013.0,"Jan,Apr,Jul,Oct"
48,Small,1060.0,,,
49,Large,18010.0,,,
50,Small,6260.0,,,
51,Large,10570.0,9.0,2011.0,"Jan,Apr,Jul,Oct"
52,Large,450.0,39.0,2010.0,"Jan,Apr,Jul,Oct"
53,Large,30360.0,,,
54,Large,7170.0,5.0,2013.0,"Feb,May,Aug,Nov"
55,Small,720.0,,,
56,Large,6620.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
57,Large,420.0,,,
58,Large,7340.0,27.0,2012.0,"Jan,Apr,Jul,Oct"
59,Large,2840.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
60,Large,5540.0,,,
61,Large,350.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
62,Small,2050.0,,,
63,Large,3700.0,18.0,2010.0,"Feb,May,Aug,Nov"
64,Large,22560.0,14.0,2013.0,"Jan,Apr,Jul,Oct"
65,Large,13840.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
66,Small,7660.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
67,Large,410.0,,,
68,Large,250.0,35.0,2012.0,"Mar,Jun,Sept,Dec"
69,Large,1130.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
70,Large,4840.0,,,
71,Small,17500.0,37.0,2009.0,"Mar,Jun,Sept,Dec"
72,Small,2200.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
73,Large,1650.0,,,
74,Small,330.0,,,
75,Large,22440.0,,,
76,Large,19960.0,,,
77,Large,1090.0,10.0,2014.0,"Jan,Apr,Jul,Oct"
78,Small,3510.0,5.0,2013.0,"Feb,May,Aug,Nov"
79,Small,3320.0,,,
80,Small,7910.0,,,
81,Small,2370.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
82,Small,22390.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
83,Small,2710.0,,,
84,Large,11810.0,,,
85,Small,1870.0,,,
86,Small,480.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
87,Small,560.0,,,
88,Small,10690.0,,,
89,Small,2380.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
90,Small,330.0,,,
91,Small,2410.0,35.0,2011.0,"Jan,Apr,Jul,Oct"
92,Small,240.0,45.0,2009.0,"Feb,May,Aug,Nov"
93,Small,16690.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
94,Large,14620.0,,,
95,Small,1890.0,,,
96,Small,8780.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
97,Large,8980.0,,,
98,Large,15140.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
99,Large,2030.0,22.0,2012.0,"Mar,Jun,Sept,Dec"
100,Small,17930.0,,,
101,Large,2440.0,22.0,2012.0,"Mar,Jun,Sept,Dec"
102,Small,150.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
103,Large,5210.0,,,
104,Small,390.0,,,
105,Large,6190.0,23.0,2013.0,"Mar,Jun,Sept,Dec"
106,Small,1390.0,,,
107,Small,1930.0,,,
108,Large,2190.0,,,
109,Large,3300.0,,,
110,Large,46590.0,,,
111,Large,7890.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
112,Small,1630.0,,,
113,Large,20930.0,,,
114,Small,4510.0,48.0,2011.0,"Mar,Jun,Sept,Dec"
115,Large,5740.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
116,Small,680.0,,,
117,Small,3450.0,,,
118,Large,3580.0,,,
119,Large,2100.0,,,
120,Small,2290.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
121,Small,3570.0,36.0,2013.0,"Mar,Jun,Sept,Dec"
122,Large,58260.0,,,
123,Small,16760.0,,,
124,Small,1410.0,,,
125,Small,760.0,,,
126,Small,3370.0,18.0,2011.0,"Feb,May,Aug,Nov"
127,Small,1350.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
128,Large,2000.0,1.0,2013.0,"Jan,Apr,Jul,Oct"
129,Small,2460.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
130,Small,900.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
131,Small,920.0,,,
132,Large,1040.0,27.0,2012.0,"Jan,Apr,Jul,Oct"
133,Small,270.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
134,Small,1200.0,,,
135,Small,5190.0,1.0,2013.0,"Jan,Apr,Jul,Oct"
136,Large,2200.0,22.0,2012.0,"Feb,May,Aug,Nov"
137,Small,1730.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
138,Large,25360.0,,,
139,Small,1700.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
140,Large,1090.0,1.0,2013.0,"Jan,Apr,Jul,Oct"
141,Large,1540.0,22.0,2012.0,"Mar,Jun,Sept,Dec"
142,Small,1090.0,,,
143,Small,2930.0,,,
144,Large,16570.0,,,
145,Small,280.0,45.0,2009.0,"Feb,May,Aug,Nov"
146,Large,8050.0,48.0,2012.0,"Jan,Apr,Jul,Oct"
147,Large,8540.0,,,
148,Small,2090.0,,,
149,Small,2610.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
150,Large,31830.0,,,
151,Large,4360.0,,,
152,Small,1780.0,,,
153,Small,16240.0,18.0,2011.0,"Feb,May,Aug,Nov"
154,Large,16420.0,,,
155,Small,3050.0,35.0,2010.0,"Jan,Apr,Jul,Oct"
156,Small,2020.0,14.0,2011.0,"Mar,Jun,Sept,Dec"
157,Large,2950.0,,,
158,Large,11840.0,31.0,2009.0,"Feb,May,Aug,Nov"
159,Small,8530.0,,,
160,Large,17110.0,,,
161,Large,2970.0,,,
162,Large,5340.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
163,Small,1480.0,,,
164,Small,1160.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
165,Small,3720.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
166,Large,100.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
167,Small,140.0,,,
168,Small,12540.0,,,
169,Small,980.0,18.0,2014.0,"Feb,May,Aug,Nov"
170,Small,1070.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
171,Small,2640.0,,,
172,Small,110.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
173,Small,350.0,,,
174,Small,13090.0,22.0,2012.0,"Jan,Apr,Jul,Oct"
175,Small,4130.0,,,
176,Small,3770.0,,,
177,Small,1250.0,5.0,2013.0,"Feb,May,Aug,Nov"
178,Small,1710.0,,,
179,Large,480.0,,,
180,Small,5800.0,,,
181,Small,12610.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
182,Large,1390.0,9.0,2011.0,"Mar,Jun,Sept,Dec"
183,Small,9670.0,,,
184,Large,3560.0,,,
185,Large,1860.0,,,
186,Small,290.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
187,Large,19360.0,,,
188,Small,850.0,18.0,2011.0,"Feb,May,Aug,Nov"
189,Small,5760.0,,,
190,Small,1470.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
191,Small,1100.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
192,Large,2770.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
193,Small,520.0,,,
194,Large,16970.0,5.0,2013.0,"Feb,May,Aug,Nov"
195,Large,220.0,,,
196,Small,3850.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
197,Small,4210.0,,,
198,Small,290.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
199,Large,6360.0,14.0,2012.0,"Mar,Jun,Sept,Dec"
200,Small,1650.0,,,
201,Small,20260.0,18.0,2014.0,"Mar,Jun,Sept,Dec"
202,Large,5140.0,,,
203,Large,490.0,,,
204,Small,5630.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
205,Small,110.0,,,
206,Large,380.0,14.0,2012.0,"Jan,Apr,Jul,Oct"
207,Small,6870.0,,,
208,Small,300.0,,,
209,Large,11680.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
210,Small,970.0,5.0,2013.0,"Feb,May,Aug,Nov"
211,Large,350.0,,,
212,Large,15050.0,,,
213,Large,4030.0,1.0,2014.0,"Jan,Apr,Jul,Oct"
214,Small,8650.0,10.0,2014.0,"Jan,Apr,Jul,Oct"
215,Small,150.0,45.0,2009.0,"Feb,May,Aug,Nov"
216,Small,190.0,45.0,2009.0,"Feb,May,Aug,Nov"
217,Small,3150.0,,,
218,Large,640.0,9.0,2011.0,"Mar,Jun,Sept,Dec"
219,Small,1640.0,,,
220,Small,1000.0,,,
221,Large,13530.0,,,
222,Small,2170.0,,,
223,Large,2920.0,27.0,2011.0,"Jan,Apr,Jul,Oct"
224,Large,7930.0,1.0,2013.0,"Jan,Apr,Jul,Oct"
225,Small,10180.0,,,
226,Small,450.0,,,
227,Small,2370.0,,,
228,Large,10800.0,18.0,2011.0,"Feb,May,Aug,Nov"
229,Large,17410.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
230,Large,6680.0,,,
231,Large,3840.0,39.0,2010.0,"Feb,May,Aug,Nov"
232,Large,13570.0,10.0,2013.0,"Mar,Jun,Sept,Dec"
233,Small,1890.0,,,
234,Small,4370.0,,,
235,Small,5710.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
236,Small,1000.0,,,
237,Small,1420.0,,,
238,Small,320.0,45.0,2009.0,"Feb,May,Aug,Nov"
239,Large,610.0,,,
240,Small,1110.0,,,
241,Large,780.0,,,
242,Small,6880.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
243,Small,310.0,5.0,2013.0,"Feb,May,Aug,Nov"
244,Small,710.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
245,Large,1310.0,,,
246,Small,4660.0,,,
247,Large,70.0,5.0,2013.0,"Feb,May,Aug,Nov"
248,Large,340.0,40.0,2012.0,"Jan,Apr,Jul,Oct"
249,Large,18010.0,,,
250,Small,3520.0,18.0,2012.0,"Feb,May,Aug,Nov"
251,Large,340.0,,,
252,Large,22330.0,5.0,2010.0,"Feb,May,Aug,Nov"
253,Large,250.0,5.0,2013.0,"Feb,May,Aug,Nov"
254,Small,330.0,1.0,2012.0,"Mar,Jun,Sept,Dec"
255,Large,4630.0,35.0,2011.0,"Feb,May,Aug,Nov"
256,Large,80.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
257,Small,420.0,,,
258,Small,27190.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
259,Medium,210.0,,,
260,Small,540.0,,,
261,Large,15340.0,39.0,2009.0,"Jan,Apr,Jul,Oct"
262,Small,1180.0,,,
263,Large,1140.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
264,Small,180.0,,,
265,Small,4580.0,14.0,2015.0,"Jan,Apr,Jul,Oct"
266,Large,360.0,9.0,2011.0,"Mar,Jun,Sept,Dec"
267,Small,2460.0,,,
268,Small,4520.0,,,
269,Large,60.0,,,
270,Small,1450.0,,,
271,Small,420.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
272,Small,16180.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
273,Large,8480.0,,,
274,Medium,3640.0,10.0,2013.0,"Jan,Apr,Jul,Oct"
275,Small,300.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
276,Small,2960.0,36.0,2013.0,"Mar,Jun,Sept,Dec"
277,Large,7840.0,31.0,2009.0,"Feb,May,Aug,Nov"
278,Large,9260.0,,,
279,Large,2320.0,40.0,2012.0,"Jan,Apr,Jul,Oct"
280,Large,18640.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
281,Large,6970.0,,,
282,Small,1220.0,,,
283,Small,2260.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
284,Small,1290.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
285,Small,2410.0,,,
286,Small,1460.0,,,
287,Small,2740.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
288,Small,800.0,14.0,2011.0,"Mar,Jun,Sept,Dec"
289,Small,6540.0,,,
290,Small,4150.0,,,
291,Small,,,,
292,Small,1100.0,,,
293,Large,140.0,,,
294,Small,3150.0,,,
295,Small,210.0,36.0,2013.0,"Mar,Jun,Sept,Dec"
296,Small,9580.0,45.0,2014.0,"Feb,May,Aug,Nov"
297,Small,2300.0,,,
298,Small,19840.0,,,
299,Large,38630.0,,,
300,Large,120.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
301,Large,4510.0,,,
302,Large,2190.0,9.0,2011.0,"Mar,Jun,Sept,Dec"
303,Small,15430.0,18.0,2011.0,"Feb,May,Aug,Nov"
304,Small,1950.0,,,
305,Large,2470.0,31.0,2013.0,"Mar,Jun,Sept,Dec"
306,Small,5100.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
307,Small,18660.0,,,
308,Small,1070.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
309,Small,8740.0,37.0,2009.0,"Feb,May,Aug,Nov"
310,Large,2290.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
311,Large,680.0,,,
312,Small,11300.0,,,
313,Large,14160.0,,,
314,Small,3560.0,31.0,2013.0,"Feb,May,Aug,Nov"
315,Large,38710.0,,,
316,Small,9000.0,,,
317,Small,3140.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
318,Large,32330.0,,,
319,Large,570.0,27.0,2012.0,"Mar,Jun,Sept,Dec"
320,Large,210.0,,,
321,Large,8140.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
322,Small,17500.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
323,Large,8400.0,5.0,2013.0,"Feb,May,Aug,Nov"
324,Small,13140.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
325,Large,350.0,22.0,2011.0,"Feb,May,Aug,Nov"
326,Small,10070.0,31.0,2013.0,"Feb,May,Aug,Nov"
327,Large,1390.0,,,
328,Small,3130.0,,,
329,Small,1310.0,22.0,2012.0,"Mar,Jun,Sept,Dec"
330,Large,370.0,22.0,2012.0,"Mar,Jun,Sept,Dec"
331,Large,670.0,14.0,2015.0,"Jan,Apr,Jul,Oct"
332,Small,1840.0,,,
333,Large,3720.0,,,
334,Large,4040.0,18.0,2013.0,"Mar,Jun,Sept,Dec"
335,Small,90.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
336,Small,190.0,,,
337,Large,10600.0,45.0,2014.0,"Feb,May,Aug,Nov"
338,Large,1590.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
339,Large,2280.0,10.0,2013.0,"Mar,Jun,Sept,Dec"
340,Large,8080.0,,,
341,Small,190.0,,,
342,Large,15770.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
343,Small,18650.0,14.0,2014.0,"Jan,Apr,Jul,Oct"
344,Large,300.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
345,Small,120.0,22.0,2012.0,"Jan,Apr,Jul,Oct"
346,Large,8090.0,,,
347,Large,9360.0,22.0,2012.0,"Mar,Jun,Sept,Dec"
348,Small,16490.0,22.0,2012.0,"Jan,Apr,Jul,Oct"
349,Large,1490.0,,,
350,Small,8880.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
351,Small,5290.0,5.0,2013.0,"Feb,May,Aug,Nov"
352,Large,6360.0,40.0,2012.0,"Mar,Jun,Sept,Dec"
353,Medium,900.0,14.0,2013.0,"Feb,May,Aug,Nov"
354,Large,1500.0,,,
355,Large,9720.0,,,
356,Large,8970.0,22.0,2012.0,"Feb,May,Aug,Nov"
357,Small,2060.0,,,
358,Small,2890.0,,,
359,Large,4370.0,,,
360,Small,2040.0,,,
361,Large,4490.0,5.0,2013.0,"Feb,May,Aug,Nov"
362,Large,340.0,,,
363,Small,250.0,,,
364,Large,13620.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
365,Small,2410.0,45.0,2009.0,"Feb,May,Aug,Nov"
366,Large,6470.0,,,
367,Large,2640.0,,,
368,Large,1450.0,45.0,2009.0,"Feb,May,Aug,Nov"
369,Large,5870.0,,,
370,Small,8250.0,31.0,2009.0,"Jan,Apr,Jul,Oct"
371,Large,1970.0,45.0,2014.0,"Feb,May,Aug,Nov"
