Store,Assortment,CompetitionDistance,PromoSinceWeek,PromoSinceYear,PromoInterval
744,Small,1370.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
745,Small,17650.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
746,Large,4330.0,35.0,2011.0,"Mar,Jun,Sept,Dec"
747,Large,45740.0,,,
748,Small,2380.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
749,Small,3410.0,14.0,2015.0,"Jan,Apr,Jul,Oct"
750,Small,8670.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
751,Small,650.0,,,
752,Small,970.0,31.0,2013.0,"Feb,May,Aug,Nov"
753,Large,540.0,35.0,2010.0,"Mar,Jun,Sept,Dec"
754,Large,380.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
755,Large,13130.0,,,
756,Large,50.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
757,Large,3450.0,,,
758,Large,19780.0,,,
759,Small,110.0,31.0,2013.0,"Feb,May,Aug,Nov"
760,Small,560.0,,,
761,Small,2390.0,,,
762,Large,1280.0,10.0,2013.0,"Mar,Jun,Sept,Dec"
763,Large,32240.0,,,
764,Large,26490.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
765,Large,25430.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
766,Large,9820.0,,,
767,Large,13080.0,,,
768,Large,2630.0,,,
769,Medium,840.0,48.0,2012.0,"Jan,Apr,Jul,Oct"
770,Large,100.0,,,
771,Small,20640.0,,,
772,Large,1850.0,,,
773,Small,200.0,,,
774,Large,640.0,,,
775,Large,6970.0,22.0,2011.0,"Jan,Apr,Jul,Oct"
776,Small,700.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
777,Large,8250.0,10.0,2013.0,"Mar,Jun,Sept,Dec"
778,Small,340.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
779,Small,16990.0,,,
780,Small,18160.0,,,
781,Small,630.0,,,
782,Large,5390.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
783,Large,15490.0,,,
784,Small,560.0,10.0,2014.0,"Jan,Apr,Jul,Oct"
785,Large,970.0,31.0,2013.0,"Feb,May,Aug,Nov"
786,Small,290.0,5.0,2013.0,"Feb,May,Aug,Nov"
787,Large,3210.0,,,
788,Large,1530.0,,,
789,Large,9770.0,,,
790,Large,9070.0,,,
791,Small,5950.0,,,
792,Small,17280.0,18.0,2011.0,"Feb,May,Aug,Nov"
793,Small,2710.0,,,
794,Large,5090.0,,,
795,Small,510.0,35.0,2010.0,"Mar,Jun,Sept,Dec"
796,Large,7180.0,,,
797,Small,2090.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
798,Small,9560.0,,,
799,Large,2700.0,,,
800,Small,2020.0,,,
801,Small,48330.0,,,
802,Large,910.0,22.0,2011.0,"Feb,May,Aug,Nov"
803,Small,1760.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
804,Large,2100.0,1.0,2013.0,"Jan,Apr,Jul,Oct"
805,Small,24770.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
806,Small,260.0,44.0,2010.0,"Feb,May,Aug,Nov"
807,Small,3870.0,,,
808,Small,18620.0,31.0,2009.0,"Feb,May,Aug,Nov"
809,Small,12770.0,,,
810,Large,9640.0,,,
811,Small,410.0,,,
812,Small,2590.0,,,
813,Small,1560.0,,,
814,Large,24530.0,,,
815,Small,590.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
816,Large,460.0,,,
817,Small,140.0,,,
818,Small,490.0,35.0,2010.0,"Mar,Jun,Sept,Dec"
819,Large,720.0,,,
820,Large,1650.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
821,Small,1700.0,,,
822,Large,410.0,48.0,2010.0,"Mar,Jun,Sept,Dec"
823,Large,16210.0,,,
824,Small,17570.0,,,
825,Small,380.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
826,Large,7980.0,,,
827,Large,250.0,,,
828,Large,3290.0,,,
829,Small,110.0,,,
830,Large,6320.0,5.0,2011.0,"Jan,Apr,Jul,Oct"
831,Small,800.0,,,
832,Small,5070.0,45.0,2009.0,"Feb,May,Aug,Nov"
833,Large,3290.0,35.0,2010.0,"Mar,Jun,Sept,Dec"
834,Small,3470.0,,,
835,Small,2890.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
836,Small,2720.0,,,
837,Large,14600.0,,,
838,Large,6890.0,48.0,2011.0,"Mar,Jun,Sept,Dec"
839,Small,240.0,,,
840,Small,1070.0,,,
841,Small,27650.0,,,
842,Large,1200.0,,,
843,Small,60.0,,,
844,Small,2030.0,18.0,2011.0,"Feb,May,Aug,Nov"
845,Small,7860.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
846,Large,8860.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
847,Large,190.0,31.0,2013.0,"Feb,May,Aug,Nov"
848,Large,370.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
849,Large,5000.0,,,
850,Small,1120.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
851,Large,2330.0,49.0,2014.0,"Mar,Jun,Sept,Dec"
852,Small,940.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
853,Small,14040.0,,,
854,Small,4770.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
855,Small,3440.0,45.0,2009.0,"Feb,May,Aug,Nov"
856,Small,3020.0,,,
857,Small,6270.0,23.0,2014.0,"Mar,Jun,Sept,Dec"
858,Small,3370.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
859,Small,21770.0,,,
860,Large,5980.0,,,
861,Large,740.0,14.0,2013.0,"Mar,Jun,Sept,Dec"
862,Large,2840.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
863,Large,21370.0,,,
864,Small,1020.0,45.0,2009.0,"Feb,May,Aug,Nov"
865,Large,2640.0,,,
866,Small,9680.0,5.0,2013.0,"Feb,May,Aug,Nov"
867,Large,21810.0,,,
868,Large,1360.0,10.0,2014.0,"Jan,Apr,Jul,Oct"
869,Small,230.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
870,Small,780.0,,,
871,Large,10620.0,,,
872,Large,3860.0,23.0,2015.0,"Mar,Jun,Sept,Dec"
873,Small,2040.0,,,
874,Small,3210.0,,,
875,Small,5070.0,18.0,2015.0,"Feb,May,Aug,Nov"
876,Small,21790.0,18.0,2015.0,"Feb,May,Aug,Nov"
877,Large,29190.0,,,
878,Large,1100.0,,,
879,Small,,5.0,2013.0,"Feb,May,Aug,Nov"
880,Large,4570.0,,,
881,Small,180.0,31.0,2013.0,"Feb,May,Aug,Nov"
882,Small,30.0,,,
883,Small,3200.0,,,
884,Large,7550.0,,,
885,Small,480.0,,,
886,Large,12430.0,,,
887,Small,19700.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
888,Small,4450.0,35.0,2012.0,"Mar,Jun,Sept,Dec"
889,Small,18670.0,,,
890,Small,4450.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
891,Large,350.0,31.0,2013.0,"Feb,May,Aug,Nov"
892,Small,19370.0,,,
893,Small,130.0,1.0,2013.0,"Jan,Apr,Jul,Oct"
894,Small,190.0,,,
895,Large,4150.0,,,
896,Large,170.0,,,
897,Large,3290.0,5.0,2013.0,"Feb,May,Aug,Nov"
898,Small,18540.0,,,
899,Small,2590.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
900,Small,3920.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
901,Large,3170.0,,,
902,Small,310.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
903,Large,7290.0,,,
904,Large,570.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
905,Small,90.0,,,
906,Small,90.0,,,
907,Large,250.0,,,
908,Small,1980.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
909,Large,1680.0,45.0,2009.0,"Feb,May,Aug,Nov"
910,Large,12480.0,1.0,2013.0,"Jan,Apr,Jul,Oct"
911,Large,16490.0,,,
912,Large,3100.0,,,
913,Small,280.0,,,
914,Large,2640.0,22.0,2012.0,"Mar,Jun,Sept,Dec"
915,Large,650.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
916,Small,90.0,,,
917,Small,7240.0,,,
918,Large,18710.0,,,
919,Small,2620.0,45.0,2009.0,"Feb,May,Aug,Nov"
920,Small,850.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
921,Small,840.0,,,
922,Small,2110.0,,,
923,Small,280.0,,,
924,Small,6420.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
925,Small,470.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
926,Large,5150.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
927,Small,480.0,,,
928,Large,1090.0,31.0,2013.0,"Feb,May,Aug,Nov"
929,Large,4820.0,,,
930,Small,70.0,,,
931,Large,1480.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
932,Small,15700.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
933,Large,6270.0,,,
934,Large,5460.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
935,Large,22350.0,,,
936,Small,580.0,,,
937,Small,2810.0,10.0,2014.0,"Jan,Apr,Jul,Oct"
938,Small,2820.0,,,
939,Small,1340.0,,,
940,Large,6470.0,,,
941,Small,1200.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
942,Large,6860.0,18.0,2011.0,"Jan,Apr,Jul,Oct"
943,Large,18020.0,,,
944,Small,1670.0,,,
945,Large,12480.0,,,
946,Small,2220.0,14.0,2015.0,"Jan,Apr,Jul,Oct"
947,Small,460.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
948,Medium,1430.0,,,
949,Small,870.0,,,
950,Small,8460.0,,,
951,Large,710.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
952,Large,6300.0,,,
953,Small,19830.0,22.0,2011.0,"Mar,Jun,Sept,Dec"
954,Small,390.0,10.0,2014.0,"Jan,Apr,Jul,Oct"
955,Large,1690.0,36.0,2013.0,"Mar,Jun,Sept,Dec"
956,Small,2330.0,18.0,2011.0,"Feb,May,Aug,Nov"
957,Large,1420.0,,,
958,Small,440.0,,,
959,Large,1060.0,,,
960,Small,8990.0,31.0,2009.0,"Feb,May,Aug,Nov"
961,Large,9430.0,,,
962,Small,260.0,,,
963,Large,23620.0,,,
964,Small,270.0,5.0,2013.0,"Feb,May,Aug,Nov"
965,Large,110.0,,,
966,Small,760.0,,,
967,Large,3560.0,36.0,2013.0,"Jan,Apr,Jul,Oct"
968,Small,1190.0,,,
969,Large,600.0,10.0,2013.0,"Jan,Apr,Jul,Oct"
970,Small,910.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
971,Small,1140.0,14.0,2012.0,"Mar,Jun,Sept,Dec"
972,Small,14960.0,,,
973,Large,330.0,28.0,2012.0,"Jan,Apr,Jul,Oct"
974,Small,150.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
975,Large,9630.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
976,Small,4180.0,,,
977,Small,520.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
978,Large,3890.0,,,
979,Large,2270.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
980,Small,4420.0,,,
981,Large,2620.0,,,
982,Small,21930.0,,,
983,Small,40.0,1.0,2014.0,"Jan,Apr,Jul,Oct"
984,Small,440.0,1.0,2013.0,"Jan,Apr,Jul,Oct"
985,Large,490.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
986,Small,620.0,18.0,2014.0,"Feb,May,Aug,Nov"
987,Small,1690.0,,,
988,Small,30.0,,,
989,Small,1640.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
990,Small,20930.0,,,
991,Small,1010.0,,,
992,Small,2480.0,,,
993,Large,3460.0,10.0,2014.0,"Jan,Apr,Jul,Oct"
994,Small,2290.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
995,Small,6560.0,,,
996,Small,2870.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
997,Large,5840.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
998,Small,780.0,5.0,2013.0,"Feb,May,Aug,Nov"
999,Large,15140.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
1000,Large,2230.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
1001,Small,19640.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
1002,Large,1130.0,,,
1003,Small,170.0,27.0,2013.0,"Jan,Apr,Jul,Oct"
1004,Large,970.0,9.0,2011.0,"Mar,Jun,Sept,Dec"
1005,Small,6480.0,,,
1006,Large,3890.0,5.0,2013.0,"Feb,May,Aug,Nov"
1007,Large,4180.0,,,
1008,Large,30.0,,,
1009,Small,230.0,10.0,2014.0,"Jan,Apr,Jul,Oct"
1010,Large,4610.0,18.0,2010.0,"Feb,May,Aug,Nov"
1011,Large,490.0,18.0,2011.0,"Feb,May,Aug,Nov"
1012,Large,6330.0,39.0,2010.0,"Jan,Apr,Jul,Oct"
1013,Small,630.0,31.0,2013.0,"Feb,May,Aug,Nov"
1014,Large,210.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
1015,Large,9910.0,9.0,2011.0,"Mar,Jun,Sept,Dec"
1016,Large,550.0,35.0,2010.0,"Mar,Jun,Sept,Dec"
1017,Small,110.0,,,
1018,Large,140.0,,,
1019,Large,2740.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
1020,Small,40.0,,,
1021,Small,1080.0,,,
1022,Large,1520.0,,,
1023,Small,3740.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
1024,Large,1990.0,,,
1025,Small,720.0,,,
1026,Small,450.0,48.0,2012.0,"Mar,Jun,Sept,Dec"
1027,Large,190.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
1028,Small,150.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
1029,Small,1590.0,,,
1030,Small,36410.0,,,
1031,Small,590.0,,,
1032,Large,270.0,40.0,2012.0,"Jan,Apr,Jul,Oct"
1033,Small,7680.0,,,
1034,Small,13750.0,,,
1035,Small,27150.0,,,
1036,Large,9560.0,36.0,2013.0,"Jan,Apr,Jul,Oct"
1037,Large,150.0,,,
1038,Small,17290.0,,,
1039,Large,70.0,22.0,2012.0,"Mar,Jun,Sept,Dec"
1040,Small,4030.0,10.0,2014.0,"Jan,Apr,Jul,Oct"
1041,Small,1600.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
1042,Small,3440.0,31.0,2013.0,"Feb,May,Aug,Nov"
1043,Small,420.0,,,
1044,Small,240.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
1045,Large,26990.0,,,
1046,Large,29070.0,,,
1047,Small,3750.0,45.0,2009.0,"Feb,May,Aug,Nov"
1048,Large,1860.0,40.0,2012.0,"Jan,Apr,Jul,Oct"
1049,Small,370.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
1050,Large,13170.0,9.0,2011.0,"Mar,Jun,Sept,Dec"
1051,Small,200.0,1.0,2012.0,"Jan,Apr,Jul,Oct"
1052,Large,5080.0,31.0,2013.0,"Feb,May,Aug,Nov"
1053,Small,1710.0,,,
1054,Large,13190.0,45.0,2013.0,"Feb,May,Aug,Nov"
1055,Small,1980.0,,,
1056,Large,5350.0,40.0,2012.0,"Jan,Apr,Jul,Oct"
1057,Large,3230.0,,,
1058,Large,180.0,35.0,2010.0,"Mar,Jun,Sept,Dec"
1059,Small,3380.0,,,
1060,Large,3430.0,31.0,2013.0,"Feb,May,Aug,Nov"
1061,Large,8110.0,,,
1062,Small,190.0,40.0,2012.0,"Feb,May,Aug,Nov"
1063,Large,6250.0,,,
1064,Large,420.0,,,
1065,Small,1290.0,35.0,2011.0,"Mar,Jun,Sept,Dec"
1066,Small,3350.0,,,
1067,Large,12020.0,,,
1068,Large,5010.0,5.0,2013.0,"Jan,Apr,Jul,Oct"
1069,Large,18050.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
1070,Large,400.0,,,
1071,Small,820.0,35.0,2012.0,"Mar,Jun,Sept,Dec"
1072,Large,5380.0,5.0,2010.0,"Feb,May,Aug,Nov"
1073,Large,1710.0,44.0,2012.0,"Jan,Apr,Jul,Oct"
1074,Large,3330.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
1075,Large,1410.0,,,
1076,Large,90.0,1.0,2013.0,"Jan,Apr,Jul,Oct"
1077,Small,3750.0,35.0,2010.0,"Mar,Jun,Sept,Dec"
1078,Large,670.0,40.0,2011.0,"Jan,Apr,Jul,Oct"
1079,Small,16680.0,37.0,2009.0,"Jan,Apr,Jul,Oct"
1080,Small,2410.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
1081,Small,400.0,,,
1082,Small,440.0,,,
1083,Large,11540.0,5.0,2013.0,"Feb,May,Aug,Nov"
1084,Small,190.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
1085,Small,4030.0,,,
1086,Small,180.0,18.0,2011.0,"Feb,May,Aug,Nov"
1087,Large,2210.0,,,
1088,Small,4300.0,27.0,2013.0,"Jan,Apr,Jul,Oct"
1089,Small,5220.0,,,
1090,Small,330.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
1091,Large,9990.0,,,
1092,Small,300.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
1093,Large,10450.0,,,
1094,Small,2380.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
1095,Small,690.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
1096,Large,1130.0,10.0,2014.0,"Mar,Jun,Sept,Dec"
1097,Medium,720.0,,,
1098,Small,1830.0,,,
1099,Large,200.0,14.0,2013.0,"Jan,Apr,Jul,Oct"
1100,Small,540.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
1101,Large,4060.0,,,
1102,Small,850.0,40.0,2014.0,"Jan,Apr,Jul,Oct"
1103,Large,1340.0,5.0,2013.0,"Feb,May,Aug,Nov"
1104,Small,260.0,14.0,2011.0,"Jan,Apr,Jul,Oct"
1105,Large,330.0,5.0,2013.0,"Feb,May,Aug,Nov"
1106,Large,5330.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
1107,Small,1400.0,13.0,2010.0,"Jan,Apr,Jul,Oct"
1108,Small,540.0,,,
1109,Small,3490.0,22.0,2012.0,"Jan,Apr,Jul,Oct"
1110,Large,900.0,,,
1111,Small,1900.0,31.0,2013.0,"Jan,Apr,Jul,Oct"
1112,Large,1880.0,,,
1113,Large,9260.0,,,
1114,Large,870.0,,,
1115,Large,5350.0,22.0,2012.0,"Mar,Jun,Sept,Dec"
